"Primary Billing Address","Primary Billing Address"
"Primary Shipping Address","Primary Shipping Address"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Product"
"Product ID","Product ID"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Product name","Product name"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Qty","Qty"
"Recent Orders","Recent Orders"
"Records for ""","Records for """
"Refunded","Refunded"
"Registered Customers","Registered Customers"
"Remove","Remove"
"Retrieve your password here","Retrieve your password here"
"SKU","SKU"
"Sales Statistics","Sales Statistics"
"Save","Save"
"Save Address","Save Address"
"Save Customer","Save Customer"
"Save Customer Group","Save Customer Group"
"Save Password","Save Password"
"Saved ","Saved "
"Send auto-generated password","Send auto-generated password"
"Send welcome email","Send welcome email"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"State/Province","State/Province"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Street Address","Street Address"
"Street Address 2","Street Address 2"
"Subject","Subject"
"Submit","Submit"
"Subscribe","Subscribe"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax class","Tax class"
"Telephone","Telephone"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s","Thank you for registering with %s"
"The address does not belong to this customer","The address does not belong to this customer"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","The address was successfully saved"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer\'s shopping cart at the moment","There are no items in customer\'s shopping cart at the moment"
"There was an error while deleting the address","There was an error while deleting the address"
"This customer has no saved addresses.","This customer has no saved addresses."
"This email address was not found in our records","This email address was not found in our records"
"This is My Primary %s Address","This is My Primary %s Address"
"To Cart","To Cart"
"Total","Total"
"Type","Type"
"Unknown","Unknown"
"Unsubscribe from newsletter","Unsubscribe from newsletter"
"Update","Update"
"Use as My Primary %s Address","Use as My Primary %s Address"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"User description","User description"
"View","View"
"View Order","View Order"
"View Order List","View Order List"
"Visible In","Visible In"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong region id by selected country","Wrong region id by selected country"
"XML","XML"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You are currently not subscribed to our newsletter","You are currently not subscribed to our newsletter"
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently subscribed to our newsletter","You are currently subscribed to our newsletter"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","You have been successfully logged out and will be redirected to our homepage in 5 seconds."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","You have not set a primary billing address."
"You have not set a primary shipping address.","You have not set a primary shipping address."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no products yet.","You have placed no products yet."
"You're now Logged Out","You're now Logged Out"
"Your account balance is: %s","Your account balance is: %s"
"ZIP","ZIP"
"ZIP/Post Code","ZIP/Post Code"
"ZIP/Postal Code","ZIP/Postal Code"
"Zip/Postal Code","Zip/Postal Code"
"n/a","n/a"
"or","or"
